elapsed_ms,active_workers,cpu_pct
21360,4,100.00
21370,4,100.00
21380,4,100.00
21390,4,100.00
21400,4,100.00
21410,4,100.00
21420,4,100.00
21430,4,100.00
21440,4,100.00
21450,4,100.00
21460,4,100.00
21470,4,100.00
21480,4,100.00
21490,4,100.00
21500,4,100.00
21510,4,100.00
21520,4,100.00
21530,4,100.00
21540,4,100.00
21550,4,100.00
21560,4,100.00
21570,4,100.00
21580,4,100.00
21590,4,100.00
21600,4,100.00
21610,4,100.00
21620,4,100.00
21630,4,100.00
21640,4,100.00
21650,4,100.00
21660,4,100.00
21670,4,100.00
21680,4,100.00
21690,4,100.00
21700,4,100.00
21710,4,100.00
21720,4,100.00
21730,4,100.00
21740,4,100.00
21750,4,100.00
21760,4,100.00
21770,4,100.00
21780,4,100.00
21790,4,100.00
21800,4,100.00
21810,4,100.00
21820,4,100.00
21830,4,100.00
21840,4,100.00
21850,4,100.00
21860,4,100.00
21870,4,100.00
21880,4,100.00
21890,4,100.00
21900,4,100.00
21910,4,100.00
21920,4,100.00
21930,4,100.00
21940,4,100.00
21950,4,100.00
21960,4,100.00
21970,4,100.00
21980,4,100.00
21990,4,100.00
22000,4,100.00
22010,4,100.00
22020,4,100.00
22030,4,100.00
22040,4,100.00
22050,4,100.00
22060,4,100.00
22070,4,100.00
22080,4,100.00
22090,4,100.00
22100,4,100.00
22110,4,100.00
22120,4,100.00
22130,4,100.00
22140,4,100.00
22150,4,100.00
22160,4,100.00
22170,4,100.00
22180,4,100.00
22190,4,100.00
22200,4,100.00
22210,4,100.00
22220,4,100.00
22230,4,100.00
22240,4,100.00
22250,4,100.00
22260,4,100.00
22270,4,100.00
22280,4,100.00
22290,4,100.00
22300,4,100.00
22310,4,100.00
22320,4,100.00
22330,4,100.00
22340,4,100.00
22350,4,100.00
22360,4,100.00
22370,4,100.00
22380,4,100.00
22390,4,100.00
22400,4,100.00
22410,4,100.00
22420,4,100.00
22430,4,100.00
22440,4,100.00
22450,4,100.00
22460,4,100.00
22470,4,100.00
22480,4,100.00
22490,4,100.00
22500,4,100.00
22510,4,100.00
22520,4,100.00
22530,4,100.00
22540,4,100.00
22550,4,100.00
22560,4,100.00
22570,4,100.00
22580,4,100.00
22590,4,100.00
22600,4,100.00
22610,4,100.00
22620,4,100.00
22630,4,100.00
22640,4,100.00
22650,4,100.00
22660,4,100.00
22670,4,100.00
22680,4,100.00
22690,4,100.00
22700,4,100.00
22710,4,100.00
22720,4,100.00
22730,4,100.00
22740,4,100.00
22750,4,100.00
22760,4,100.00
22770,4,100.00
22780,4,100.00
22790,4,100.00
22800,4,100.00
22810,4,100.00
22820,4,100.00
22830,4,100.00
22840,4,100.00
22850,4,100.00
22860,4,100.00
22870,4,100.00
22880,4,100.00
22890,4,100.00
22900,4,100.00
22910,4,100.00
22920,4,100.00
22930,4,100.00
22940,4,100.00
22950,4,100.00
22960,4,100.00
22970,4,100.00
22980,4,100.00
22990,4,100.00
23000,4,100.00
23010,4,100.00
23020,4,100.00
23030,4,100.00
23040,4,100.00
23050,4,100.00
23060,4,100.00
23070,4,100.00
23080,4,100.00
23090,4,100.00
23100,4,100.00
23110,4,100.00
23120,4,100.00
23130,4,100.00
23140,4,100.00
23150,4,100.00
23160,4,100.00
23170,4,100.00
23180,4,100.00
23190,4,100.00
23200,4,100.00
23210,4,100.00
23220,4,100.00
23230,4,100.00
23240,4,100.00
23250,4,100.00
23260,4,100.00
23270,4,100.00
23280,4,100.00
23290,4,100.00
23300,4,100.00
23310,4,100.00
23320,4,100.00
23330,4,100.00
23340,4,100.00
23350,4,100.00
23360,4,100.00
23370,4,100.00
23380,4,100.00
23390,4,100.00
23400,4,100.00
23410,4,100.00
23420,4,100.00
23430,4,100.00
23440,4,100.00
23450,4,100.00
23460,4,100.00
23470,4,100.00
23480,4,100.00
23490,4,100.00
23500,4,100.00
23510,4,100.00
23520,4,100.00
23530,4,100.00
23540,4,100.00
23550,4,100.00
23560,4,100.00
23570,4,100.00
23580,4,100.00
23590,4,100.00
23600,4,100.00
23610,4,100.00
23620,4,100.00
23630,4,100.00
23640,4,100.00
23650,4,100.00
23660,4,100.00
23670,4,100.00
23680,4,100.00
23690,4,100.00
23700,4,100.00
23710,4,100.00
23720,4,100.00
23730,4,100.00
23740,4,100.00
23750,4,100.00
23760,4,100.00
23770,4,100.00
23780,4,100.00
23790,4,100.00
